user_id,role_id,role_name,system,granted_date,granted_by,access_end_date
U0293,R05,Purchasing Approver,ERP-PROD,2025-09-17,U0162,
U0226,R07,GL Approver,ERP-PROD,2026-06-08,U0109,
U0055,R05,Purchasing Approver,ERP-PROD,2021-08-01,U0028,
U0332,R03,Vendor Master Maintainer,ERP-PROD,2021-02-17,,
U0051,R05,Purchasing Approver,ERP-PROD,2026-05-04,U0018,
U0167,R07,GL Approver,ERP-PROD,2020-10-14,U0235,
U0179,R03,Vendor Master Maintainer,ERP-PROD,2025-08-05,U0214,
U0177,R10,HR Generalist,ERP-PROD,2026-02-03,U0278,
U0162,R10,HR Generalist,ERP-PROD,2025-12-04,U0367,
U0059,R08,System Administrator,ERP-PROD,2024-11-03,U0321,
U0049,R05,Purchasing Approver,ERP-PROD,2026-05-26,U0194,
U0316,R06,GL Preparer,ERP-PROD,2025-06-23,U0135,
U0218,R11,Sales Rep,ERP-PROD,2026-03-04,U0249,
U0234,R11,Sales Rep,ERP-PROD,2019-03-20,U0361,
U0022,R08,System Administrator,ERP-PROD,2023-08-06,U0279,
U0289,R08,System Administrator,ERP-PROD,2023-10-02,U0392,
U0155,R11,Sales Rep,ERP-PROD,2022-07-27,U0259,
U0256,R06,GL Preparer,ERP-PROD,2022-11-13,U0131,
U0181,R01,AP Clerk,ERP-PROD,2026-04-13,U0029,
U0351,R06,GL Preparer,ERP-PROD,2024-06-24,U0166,
U0271,R01,AP Clerk,ERP-PROD,2024-11-19,U0337,2024-06-25
U0376,R03,Vendor Master Maintainer,ERP-PROD,2022-02-20,,
U0315,R02,AP Approver,ERP-PROD,2024-12-15,U0281,
U0239,R06,GL Preparer,ERP-PROD,2024-05-21,U0072,
U0284,R11,Sales Rep,ERP-PROD,2023-06-23,U0284,
U0144,R11,Sales Rep,ERP-PROD,2020-01-17,U0206,
U0126,R02,AP Approver,ERP-PROD,2025-10-23,U0302,
U0146,R01,AP Clerk,ERP-PROD,2020-01-01,U0357,
U0328,R09,Read-Only Reporting,ERP-PROD,2025-12-01,U0392,
U0097,R09,Read-Only Reporting,ERP-PROD,2026-04-09,U0004,
U0340,R10,HR Generalist,ERP-PROD,2025-04-27,U0200,
U0085,R10,HR Generalist,ERP-PROD,2023-02-17,,
U0303,R05,Purchasing Approver,ERP-PROD,2024-07-26,U0323,
U0198,R10,HR Generalist,ERP-PROD,2021-04-25,U0108,
U0118,R05,Purchasing Approver,ERP-PROD,2025-10-19,,
U0021,R09,Read-Only Reporting,ERP-PROD,2025-11-27,U0010,
U0178,R09,Read-Only Reporting,ERP-PROD,2024-06-24,U0288,
U0071,R08,System Administrator,ERP-PROD,2023-10-12,U0322,
U0104,R10,HR Generalist,ERP-PROD,2025-01-04,U0372,
U0250,R03,Vendor Master Maintainer,ERP-PROD,2025-07-07,U0215,
U0320,R09,Read-Only Reporting,ERP-PROD,2026-03-20,U0228,
U0397,R09,Read-Only Reporting,ERP-PROD,2026-07-07,,
U0100,R11,Sales Rep,ERP-PROD,2026-02-16,U0077,
