transaction_id,txn_date,preparer_id,approver_id,account,amount,description
T001747,2026-06-27,U0255,,6100-Freight & Shipping,370.37,Freight & Shipping charge
T001748,2026-08-10,U0284,,6100-Freight & Shipping,1110.64,Freight & Shipping charge
T001749,2026-03-09,U0052,,6020-Travel & Entertainment,969.62,Travel & Entertainment charge
T001750,2026-03-21,U0395,,6030-Professional Fees,176.09,Professional Fees charge
T001751,2025-12-10,U0391,,6060-Marketing,1627.14,Marketing charge
T001752,2026-03-01,U0051,,6100-Freight & Shipping,273.26,Freight & Shipping charge
T001753,2026-06-30,U0362,,6070-Utilities,1198.54,Utilities charge
T001754,2025-12-08,U0145,,6090-Equipment,738.05,Equipment charge
T001755,2026-05-09,U0018,U0138,6060-Marketing,3721.95,Marketing charge
T001756,2026-01-13,U0173,,6080-Consulting,385.36,Consulting charge
T001757,2026-08-03,U0155,,6080-Consulting,335.54,Consulting charge
T001758,2026-03-14,U0117,U0273,6100-Freight & Shipping,4900.0,Freight & Shipping charge
T001759,2026-03-18,U0218,U0216,6010-Office Supplies,482.33,Office Supplies charge
T001760,2026-03-07,U0189,,6090-Equipment,353.01,Equipment charge
T001761,2026-08-29,U0235,,6060-Marketing,1187.89,Marketing charge
T001762,2026-06-10,U0149,U0261,6040-IT Software,83.27,IT Software charge
T001763,2025-10-14,U0392,,6060-Marketing,154.62,Marketing charge
T001764,2025-11-05,U0017,U0043,6020-Travel & Entertainment,152.23,Travel & Entertainment charge
T001765,2026-06-20,U0090,,6040-IT Software,1401.56,IT Software charge
T001766,2025-09-07,U0009,,6060-Marketing,3234.65,Marketing charge
T001767,2026-06-26,U0091,,6080-Consulting,439.27,Consulting charge
T001768,2025-10-25,U0389,,6100-Freight & Shipping,409.24,Freight & Shipping charge
T001769,2025-10-12,U0117,,6030-Professional Fees,532.22,Professional Fees charge
T001770,2026-04-10,U0003,,6040-IT Software,1768.82,IT Software charge
T001771,2026-02-12,U0222,,6090-Equipment,177.67,Equipment charge
T001772,2026-07-07,U0286,,6030-Professional Fees,640.47,Professional Fees charge
T001773,2025-10-02,U0342,U0104,6080-Consulting,1440.46,Consulting charge
T001774,2026-01-13,U0116,,6030-Professional Fees,855.09,Professional Fees charge
T001775,2026-08-25,U0111,U0109,6020-Travel & Entertainment,607.01,Travel & Entertainment charge
T001776,2025-12-26,U0181,,6030-Professional Fees,1482.0,Professional Fees charge
T001777,2026-07-05,U0168,U0248,6070-Utilities,25.19,Utilities charge
T001778,2026-02-24,U0144,,6040-IT Software,1038.64,IT Software charge
T001779,2026-01-07,U0398,U0041,6050-Facilities,239.97,Facilities charge
T001780,2026-02-24,U0285,,6010-Office Supplies,65.78,Office Supplies charge
T001781,2026-06-29,U0359,,6080-Consulting,4950.0,Consulting charge
T001782,2026-07-08,U0397,,6020-Travel & Entertainment,864.65,Travel & Entertainment charge
T001783,2026-04-19,U0180,,6060-Marketing,2232.83,Marketing charge
T001784,2026-02-01,U0288,,6080-Consulting,423.61,Consulting charge
T001785,2025-12-26,U0112,,6100-Freight & Shipping,1405.52,Freight & Shipping charge
T001786,2026-04-27,U0236,,6080-Consulting,2903.02,Consulting charge
T001787,2026-04-26,U0233,U0221,6080-Consulting,2093.11,Consulting charge
T001788,2025-09-13,U0242,,6030-Professional Fees,2992.79,Professional Fees charge
T001789,2025-11-16,U0368,,6070-Utilities,1114.7,Utilities charge
T001790,2025-11-28,U0387,U0058,6030-Professional Fees,535.38,Professional Fees charge
T001791,2026-03-20,U0014,,6080-Consulting,84.59,Consulting charge
T001792,2026-05-13,U0017,,6070-Utilities,375.9,Utilities charge
T001793,2026-01-21,U0317,,6040-IT Software,194.89,IT Software charge
T001794,2026-04-10,U0288,U0390,6070-Utilities,5367.07,Utilities charge
T001795,2026-02-28,U0039,,6020-Travel & Entertainment,406.07,Travel & Entertainment charge
T001796,2026-07-09,U0276,,6050-Facilities,564.27,Facilities charge
T001797,2025-12-20,U0286,,6070-Utilities,903.82,Utilities charge
T001798,2025-11-21,U0368,,6060-Marketing,516.96,Marketing charge
T001799,2026-07-11,U0248,,6020-Travel & Entertainment,3179.74,Travel & Entertainment charge
T001800,2026-03-11,U0192,,6030-Professional Fees,248.41,Professional Fees charge
T001801,2025-09-10,U0041,U0186,6080-Consulting,610.37,Consulting charge
T001802,2026-02-08,U0134,,6080-Consulting,217.74,Consulting charge
T001803,2026-02-17,U0332,,6040-IT Software,115.35,IT Software charge
T001804,2026-06-21,U0368,,6040-IT Software,251.4,IT Software charge
T001805,2026-05-09,U0143,U0296,6100-Freight & Shipping,473.08,Freight & Shipping charge
T001806,2026-03-16,U0058,U0285,6030-Professional Fees,307.28,Professional Fees charge
T001807,2026-07-06,U0267,,6050-Facilities,230.06,Facilities charge
T001808,2026-01-20,U0113,,6030-Professional Fees,104.9,Professional Fees charge
T001809,2026-01-05,U0274,,6040-IT Software,449.7,IT Software charge
T001810,2026-05-06,U0361,U0180,6090-Equipment,94.14,Equipment charge
T001811,2026-02-08,U0280,U0379,6100-Freight & Shipping,1136.9,Freight & Shipping charge
T001812,2026-07-03,U0111,,6100-Freight & Shipping,539.52,Freight & Shipping charge
T001813,2026-05-27,U0114,,6090-Equipment,99.16,Equipment charge
T001814,2026-08-25,U0245,U0168,6010-Office Supplies,350.68,Office Supplies charge
T001815,2025-09-15,U0018,,6070-Utilities,215.43,Utilities charge
T001816,2026-04-17,U0087,,6070-Utilities,700.01,Utilities charge
T001817,2025-10-26,U0177,U0352,6050-Facilities,2152.74,Facilities charge
T001818,2026-01-24,U0262,,6030-Professional Fees,62.63,Professional Fees charge
T001819,2025-11-03,U0014,,6010-Office Supplies,559.21,Office Supplies charge
T001820,2025-11-12,U0211,,6060-Marketing,413.17,Marketing charge
T001821,2026-07-19,U0020,,6070-Utilities,1031.2,Utilities charge
T001822,2026-07-11,U0185,,6010-Office Supplies,622.98,Office Supplies charge
T001823,2025-09-21,U0327,,6090-Equipment,215.47,Equipment charge
T001824,2026-05-13,U0077,U0062,6020-Travel & Entertainment,346.9,Travel & Entertainment charge
T001825,2025-11-23,U0301,,6040-IT Software,205.28,IT Software charge
T001826,2026-02-21,U0204,,6020-Travel & Entertainment,1609.39,Travel & Entertainment charge
T001827,2026-03-25,U0285,,6090-Equipment,504.44,Equipment charge
T001828,2026-08-22,U0227,U0121,6030-Professional Fees,3989.06,Professional Fees charge
T001829,2025-11-21,U0259,,6020-Travel & Entertainment,460.94,Travel & Entertainment charge
T001830,2026-01-01,U0131,,6010-Office Supplies,226.05,Office Supplies charge
T001831,2026-07-27,U0035,U0135,6040-IT Software,93.22,IT Software charge
T001832,2025-11-10,U0090,,6090-Equipment,67.8,Equipment charge
T001833,2026-08-10,U0369,,6070-Utilities,86.27,Utilities charge
T001834,2025-09-13,U0285,U0341,6070-Utilities,661.06,Utilities charge
T001835,2025-12-16,U0026,U0051,6040-IT Software,862.3,IT Software charge
T001836,2026-03-08,U0335,U0123,6090-Equipment,86.55,Equipment charge
T001837,2026-06-02,U0089,,6010-Office Supplies,1318.89,Office Supplies charge
T001838,2026-01-15,U0161,,6090-Equipment,289.64,Equipment charge
T001839,2026-07-09,U0118,,6050-Facilities,579.1,Facilities charge
T001840,2026-03-21,U0149,,6020-Travel & Entertainment,2902.83,Travel & Entertainment charge
T001841,2026-07-06,U0258,U0067,6090-Equipment,1321.5,Equipment charge
T001842,2026-03-18,U0029,,6020-Travel & Entertainment,366.73,Travel & Entertainment charge
T001843,2026-06-19,U0117,,6050-Facilities,184.88,Facilities charge
T001844,2026-02-03,U0342,,6060-Marketing,46.2,Marketing charge
T001845,2026-06-18,U0132,U0011,6050-Facilities,223.39,Facilities charge
T001846,2025-12-02,U0125,,6060-Marketing,390.63,Marketing charge
T001847,2026-02-15,U0222,,6080-Consulting,166.35,Consulting charge
T001848,2026-05-10,U0097,U0391,6080-Consulting,426.5,Consulting charge
T001849,2025-10-10,U0143,U0023,6100-Freight & Shipping,536.22,Freight & Shipping charge
T001850,2025-09-26,U0361,,6010-Office Supplies,384.77,Office Supplies charge
T001851,2026-04-16,U0172,,6070-Utilities,241.05,Utilities charge
T001852,2025-09-28,U0059,U0246,6060-Marketing,593.19,Marketing charge
T001853,2025-10-09,U0214,U0025,6050-Facilities,801.22,Facilities charge
T001854,2026-02-02,U0071,,6030-Professional Fees,148.5,Professional Fees charge
T001855,2025-11-01,U0119,,6010-Office Supplies,2326.28,Office Supplies charge
T001856,2025-09-08,U0103,U0335,6020-Travel & Entertainment,442.11,Travel & Entertainment charge
T001857,2026-01-18,U0321,,6050-Facilities,503.07,Facilities charge
T001858,2026-08-21,U0041,,6030-Professional Fees,1073.88,Professional Fees charge
T001859,2025-09-16,U0217,,6010-Office Supplies,636.85,Office Supplies charge
T001860,2025-11-29,U0238,U0041,6010-Office Supplies,1405.92,Office Supplies charge
T001861,2026-08-30,U0160,U0152,6050-Facilities,675.76,Facilities charge
T001862,2026-08-10,U0018,U0260,6050-Facilities,251.22,Facilities charge
T001863,2026-07-30,U0001,,6010-Office Supplies,733.37,Office Supplies charge
T001864,2026-06-14,U0251,,6080-Consulting,140.04,Consulting charge
T001865,2026-01-25,U0032,,6060-Marketing,555.25,Marketing charge
T001866,2026-06-06,U0273,,6030-Professional Fees,475.06,Professional Fees charge
T001867,2026-06-04,U0318,,6030-Professional Fees,391.93,Professional Fees charge
T001868,2025-11-29,U0235,,6100-Freight & Shipping,427.78,Freight & Shipping charge
T001869,2026-01-28,U0198,,6030-Professional Fees,62.18,Professional Fees charge
T001870,2026-08-12,U0286,,6090-Equipment,269.46,Equipment charge
T001871,2026-07-06,U0053,,6050-Facilities,545.73,Facilities charge
T001872,2026-07-28,U0205,,6080-Consulting,587.48,Consulting charge
T001873,2025-11-24,U0397,,6010-Office Supplies,159.1,Office Supplies charge
T001874,2025-11-14,U0364,,6100-Freight & Shipping,1982.83,Freight & Shipping charge
T001875,2026-06-21,U0094,,6030-Professional Fees,190.03,Professional Fees charge
T001876,2025-10-12,U0227,,6070-Utilities,1431.39,Utilities charge
T001877,2025-09-22,U0314,U0318,6090-Equipment,788.33,Equipment charge
T001878,2025-11-24,U0389,,6040-IT Software,242.05,IT Software charge
T001879,2025-10-30,U0282,,6060-Marketing,3473.24,Marketing charge
T001880,2026-03-22,U0316,,6090-Equipment,132.56,Equipment charge
T001881,2026-02-27,U0332,,6070-Utilities,1354.34,Utilities charge
T001882,2026-07-25,U0130,,6080-Consulting,1481.25,Consulting charge
T001883,2025-09-01,U0111,,6090-Equipment,235.64,Equipment charge
T001884,2026-08-22,U0045,,6050-Facilities,2279.5,Facilities charge
T001885,2026-06-05,U0122,U0014,6020-Travel & Entertainment,374.26,Travel & Entertainment charge
T001886,2026-01-30,U0023,,6020-Travel & Entertainment,676.93,Travel & Entertainment charge
T001887,2025-10-07,U0397,,6020-Travel & Entertainment,656.13,Travel & Entertainment charge
T001888,2026-03-21,U0117,U0362,6070-Utilities,9900.0,Utilities charge
T001889,2026-05-03,U0340,,6100-Freight & Shipping,425.07,Freight & Shipping charge
T001890,2026-05-14,U0024,U0275,6060-Marketing,1202.18,Marketing charge
T001891,2026-06-03,U0220,,6020-Travel & Entertainment,1179.49,Travel & Entertainment charge
T001892,2026-08-17,U0201,,6080-Consulting,72.0,Consulting charge
T001893,2025-10-15,U0281,U0140,6080-Consulting,2068.9,Consulting charge
T001894,2025-10-19,U0368,,6080-Consulting,79.14,Consulting charge
T001895,2026-04-29,U0350,,6010-Office Supplies,1534.26,Office Supplies charge
T001896,2025-12-20,U0261,U0075,6100-Freight & Shipping,1701.69,Freight & Shipping charge
T001897,2026-08-12,U0342,,6010-Office Supplies,148.4,Office Supplies charge
T001898,2025-12-02,U0291,,6080-Consulting,313.6,Consulting charge
T001899,2026-08-01,U0309,U0298,6010-Office Supplies,146.02,Office Supplies charge
T001900,2025-11-29,U0284,U0165,6080-Consulting,389.0,Consulting charge
T001901,2026-02-17,U0348,U0048,6070-Utilities,351.13,Utilities charge
T001902,2026-05-05,U0116,,6080-Consulting,1161.68,Consulting charge
T001903,2025-11-30,U0383,U0192,6070-Utilities,2082.53,Utilities charge
T001904,2026-06-26,U0398,,6080-Consulting,2287.59,Consulting charge
T001905,2025-10-22,U0069,,6030-Professional Fees,265.5,Professional Fees charge
T001906,2026-06-16,U0350,,6010-Office Supplies,391.45,Office Supplies charge
T001907,2025-09-11,U0249,,6090-Equipment,77.34,Equipment charge
T001908,2025-10-25,U0314,U0322,6070-Utilities,203.07,Utilities charge
T001909,2025-10-05,U0245,,6020-Travel & Entertainment,1424.16,Travel & Entertainment charge
T001910,2026-03-03,U0389,,6080-Consulting,2913.59,Consulting charge
T001911,2025-11-01,U0081,,6010-Office Supplies,126.75,Office Supplies charge
T001912,2025-12-10,U0389,,6080-Consulting,256.8,Consulting charge
T001913,2026-01-13,U0321,,6080-Consulting,478.64,Consulting charge
T001914,2026-06-26,U0108,U0119,6070-Utilities,670.6,Utilities charge
T001915,2026-02-01,U0087,,6030-Professional Fees,202.24,Professional Fees charge
T001916,2025-10-01,U0214,U0390,6090-Equipment,785.62,Equipment charge
T001917,2026-05-04,U0100,U0276,6090-Equipment,4999.0,Equipment charge
T001918,2026-05-04,U0276,,6040-IT Software,292.59,IT Software charge
T001919,2026-07-19,U0369,U0391,6090-Equipment,484.98,Equipment charge
T001920,2026-05-20,U0075,U0297,6030-Professional Fees,898.67,Professional Fees charge
T001921,2026-06-17,U0046,,6030-Professional Fees,496.24,Professional Fees charge
T001922,2026-03-05,U0364,,6040-IT Software,304.9,IT Software charge
T001923,2025-09-22,U0250,U0393,6060-Marketing,436.78,Marketing charge
T001924,2026-03-20,U0215,,6080-Consulting,447.11,Consulting charge
T001925,2026-05-04,U0075,,6100-Freight & Shipping,327.99,Freight & Shipping charge
T001926,2026-07-28,U0235,,6030-Professional Fees,370.67,Professional Fees charge
T001927,2025-10-09,U0287,,6070-Utilities,2859.81,Utilities charge
T001928,2025-10-14,U0323,U0159,6030-Professional Fees,913.25,Professional Fees charge
T001929,2026-01-22,U0226,,6080-Consulting,356.01,Consulting charge
T001930,2026-02-03,U0192,,6090-Equipment,1060.66,Equipment charge
T001931,2026-05-20,U0272,,6080-Consulting,341.31,Consulting charge
T001932,2026-08-22,U0340,,6090-Equipment,1790.83,Equipment charge
T001933,2026-06-21,U0387,U0282,6030-Professional Fees,739.97,Professional Fees charge
T001934,2026-05-31,U0193,U0368,6090-Equipment,437.89,Equipment charge
T001935,2026-01-17,U0153,U0183,6050-Facilities,806.33,Facilities charge
T001936,2026-06-17,U0137,,6040-IT Software,87.53,IT Software charge
T001937,2026-05-24,U0189,,6070-Utilities,142.67,Utilities charge
T001938,2026-08-04,U0391,,6040-IT Software,132.51,IT Software charge
T001939,2026-08-19,U0082,,6050-Facilities,576.65,Facilities charge
T001940,2026-06-11,U0313,,6060-Marketing,3313.52,Marketing charge
T001941,2025-11-28,U0300,U0374,6020-Travel & Entertainment,5735.5,Travel & Entertainment charge
T001942,2025-12-15,U0142,,6100-Freight & Shipping,994.12,Freight & Shipping charge
T001943,2026-07-29,U0107,,6080-Consulting,854.85,Consulting charge
T001944,2026-06-18,U0154,U0352,6080-Consulting,67.95,Consulting charge
T001945,2026-01-08,U0045,,6020-Travel & Entertainment,271.25,Travel & Entertainment charge
T001946,2025-09-02,U0226,,6020-Travel & Entertainment,207.15,Travel & Entertainment charge
T001947,2026-04-21,U0286,U0327,6090-Equipment,248.9,Equipment charge
T001948,2025-12-11,U0243,,6050-Facilities,409.54,Facilities charge
T001949,2026-07-02,U0282,,6020-Travel & Entertainment,293.15,Travel & Entertainment charge
T001950,2025-11-11,U0071,,6030-Professional Fees,55.86,Professional Fees charge
T001951,2025-09-22,U0036,,6020-Travel & Entertainment,1121.81,Travel & Entertainment charge
T001952,2025-11-05,U0153,,6020-Travel & Entertainment,151.41,Travel & Entertainment charge
T001953,2025-09-21,U0119,U0364,6100-Freight & Shipping,641.09,Freight & Shipping charge
T001954,2026-01-24,U0158,U0351,6070-Utilities,4824.64,Utilities charge
T001955,2026-01-15,U0328,U0017,6090-Equipment,179.23,Equipment charge
T001956,2026-06-27,U0319,U0220,6060-Marketing,30.47,Marketing charge
T001957,2026-07-12,U0100,,6100-Freight & Shipping,4950.0,Freight & Shipping charge
T001958,2026-05-07,U0154,,6020-Travel & Entertainment,359.74,Travel & Entertainment charge
T001959,2026-01-02,U0128,,6080-Consulting,1654.17,Consulting charge
T001960,2026-06-24,U0359,U0258,6020-Travel & Entertainment,9900.0,Travel & Entertainment charge
T001961,2025-12-28,U0124,,6020-Travel & Entertainment,4247.91,Travel & Entertainment charge
T001962,2026-04-15,U0257,,6030-Professional Fees,127.42,Professional Fees charge
T001963,2026-03-14,U0355,U0394,6010-Office Supplies,850.96,Office Supplies charge
T001964,2026-04-12,U0284,U0294,6090-Equipment,295.35,Equipment charge
T001965,2026-03-18,U0356,,6080-Consulting,438.54,Consulting charge
T001966,2026-07-05,U0048,U0127,6070-Utilities,9034.25,Utilities charge
T001967,2026-02-28,U0177,,6070-Utilities,94.32,Utilities charge
T001968,2026-03-14,U0133,,6100-Freight & Shipping,651.39,Freight & Shipping charge
T001969,2026-06-16,U0400,U0017,6040-IT Software,824.24,IT Software charge
T001970,2026-06-20,U0223,U0253,6060-Marketing,1626.79,Marketing charge
T001971,2026-04-06,U0258,,6020-Travel & Entertainment,548.83,Travel & Entertainment charge
T001972,2026-03-07,U0153,U0338,6050-Facilities,691.49,Facilities charge
T001973,2026-05-23,U0377,U0026,6100-Freight & Shipping,320.28,Freight & Shipping charge
T001974,2026-03-06,U0219,U0094,6010-Office Supplies,662.51,Office Supplies charge
T001975,2026-07-13,U0056,U0147,6090-Equipment,337.81,Equipment charge
T001976,2025-11-16,U0261,,6050-Facilities,976.26,Facilities charge
T001977,2025-12-27,U0109,,6070-Utilities,328.14,Utilities charge
T001978,2025-10-18,U0133,,6100-Freight & Shipping,746.06,Freight & Shipping charge
T001979,2026-01-26,U0104,,6090-Equipment,477.14,Equipment charge
T001980,2025-12-30,U0098,U0048,6010-Office Supplies,1700.46,Office Supplies charge
T001981,2025-10-22,U0043,U0074,6050-Facilities,465.67,Facilities charge
T001982,2026-06-11,U0267,U0109,6060-Marketing,70.08,Marketing charge
T001983,2025-09-05,U0140,,6060-Marketing,1974.59,Marketing charge
T001984,2025-09-11,U0296,U0080,6090-Equipment,181.94,Equipment charge
T001985,2025-09-25,U0098,U0353,6080-Consulting,240.05,Consulting charge
T001986,2026-06-21,U0211,,6050-Facilities,255.9,Facilities charge
T001987,2026-01-06,U0066,,6030-Professional Fees,2234.74,Professional Fees charge
T001988,2026-03-22,U0162,U0234,6030-Professional Fees,5000.0,Professional Fees charge
T001989,2026-04-27,U0302,,6090-Equipment,47.03,Equipment charge
T001990,2026-01-07,U0234,U0289,6090-Equipment,15545.45,Equipment charge
T001991,2025-09-19,U0074,,6040-IT Software,1574.45,IT Software charge
T001992,2025-10-30,U0169,,6100-Freight & Shipping,629.9,Freight & Shipping charge
T001993,2026-03-11,U0170,U0014,6010-Office Supplies,463.88,Office Supplies charge
T001994,2026-04-11,U0125,,6030-Professional Fees,674.59,Professional Fees charge
T001995,2026-07-30,U0082,U0132,6050-Facilities,874.13,Facilities charge
T001996,2026-01-08,U0253,,6080-Consulting,1001.98,Consulting charge
T001997,2025-12-14,U0214,,6080-Consulting,907.93,Consulting charge
T001998,2025-11-14,U0140,U0270,6020-Travel & Entertainment,543.78,Travel & Entertainment charge
T001999,2026-08-01,U0221,U0297,6070-Utilities,396.6,Utilities charge
T002000,2026-05-03,U0318,,6010-Office Supplies,417.21,Office Supplies charge
T002001,2025-10-05,U0277,,6060-Marketing,397.66,Marketing charge
T002002,2025-11-24,U0293,U0324,6010-Office Supplies,1714.96,Office Supplies charge
T002003,2025-10-01,U0154,,6010-Office Supplies,946.63,Office Supplies charge
T002004,2025-09-13,U0214,,6080-Consulting,19.41,Consulting charge
T002005,2026-02-25,U0266,,6100-Freight & Shipping,1013.83,Freight & Shipping charge
T002006,2026-06-27,U0298,,6020-Travel & Entertainment,610.46,Travel & Entertainment charge
T002007,2026-05-22,U0250,,6010-Office Supplies,482.71,Office Supplies charge
T002008,2026-05-18,U0325,U0217,6020-Travel & Entertainment,321.38,Travel & Entertainment charge
T002009,2026-08-05,U0187,,6080-Consulting,1696.84,Consulting charge
T002010,2025-11-12,U0085,,6040-IT Software,1397.27,IT Software charge
T002011,2025-12-22,U0226,U0078,6010-Office Supplies,210.57,Office Supplies charge
T002012,2026-04-03,U0114,,6100-Freight & Shipping,771.05,Freight & Shipping charge
T002013,2026-04-07,U0089,,6090-Equipment,169.22,Equipment charge
T002014,2025-09-01,U0122,U0280,6020-Travel & Entertainment,108.03,Travel & Entertainment charge
T002015,2025-12-22,U0042,U0394,6080-Consulting,247.3,Consulting charge
T002016,2025-10-29,U0285,,6020-Travel & Entertainment,1272.37,Travel & Entertainment charge
T002017,2026-07-13,U0193,,6060-Marketing,1405.91,Marketing charge
T002018,2026-06-23,U0148,,6090-Equipment,866.44,Equipment charge
T002019,2026-07-21,U0187,,6060-Marketing,1094.01,Marketing charge
T002020,2026-05-25,U0340,,6050-Facilities,869.39,Facilities charge
T002021,2025-12-25,U0140,U0295,6010-Office Supplies,243.32,Office Supplies charge
T002022,2026-05-14,U0170,,6070-Utilities,792.44,Utilities charge
T002023,2025-10-25,U0147,,6030-Professional Fees,1188.5,Professional Fees charge
T002024,2026-01-06,U0127,,6080-Consulting,1129.71,Consulting charge
T002025,2026-05-17,U0313,,6060-Marketing,1822.21,Marketing charge
T002026,2026-02-17,U0326,U0278,6050-Facilities,1073.99,Facilities charge
T002027,2025-10-04,U0388,U0234,6060-Marketing,725.31,Marketing charge
T002028,2025-11-18,U0250,U0212,6070-Utilities,1599.05,Utilities charge
T002029,2026-02-05,U0070,,6040-IT Software,478.58,IT Software charge
T002030,2026-06-29,U0227,,6040-IT Software,186.78,IT Software charge
T002031,2026-01-03,U0163,,6100-Freight & Shipping,411.84,Freight & Shipping charge
T002032,2026-02-15,U0347,U0051,6100-Freight & Shipping,217.15,Freight & Shipping charge
T002033,2025-09-05,U0051,,6030-Professional Fees,234.46,Professional Fees charge
T002034,2026-08-24,U0056,U0105,6030-Professional Fees,420.33,Professional Fees charge
T002035,2025-11-08,U0024,,6050-Facilities,206.1,Facilities charge
T002036,2026-08-25,U0400,U0097,6060-Marketing,351.16,Marketing charge
T002037,2026-02-17,U0175,,6020-Travel & Entertainment,61.38,Travel & Entertainment charge
T002038,2026-07-12,U0028,U0101,6010-Office Supplies,623.05,Office Supplies charge
T002039,2026-05-10,U0225,U0305,6020-Travel & Entertainment,493.4,Travel & Entertainment charge
T002040,2026-07-11,U0045,,6050-Facilities,200.58,Facilities charge
T002041,2025-11-20,U0149,,6090-Equipment,1017.57,Equipment charge
T002042,2025-09-17,U0162,,6070-Utilities,1382.06,Utilities charge
T002043,2026-04-20,U0274,,6060-Marketing,84.07,Marketing charge
T002044,2026-08-28,U0383,,6070-Utilities,212.94,Utilities charge
T002045,2026-08-08,U0175,,6060-Marketing,211.44,Marketing charge
T002046,2025-09-19,U0091,,6020-Travel & Entertainment,175.23,Travel & Entertainment charge
T002047,2025-10-26,U0087,,6080-Consulting,1227.12,Consulting charge
T002048,2026-02-18,U0161,,6060-Marketing,398.14,Marketing charge
T002049,2026-03-29,U0251,,6020-Travel & Entertainment,368.35,Travel & Entertainment charge
T002050,2026-06-10,U0392,,6100-Freight & Shipping,54.37,Freight & Shipping charge
T002051,2026-08-02,U0274,,6010-Office Supplies,991.24,Office Supplies charge
T002052,2025-10-04,U0194,,6010-Office Supplies,126.07,Office Supplies charge
T002053,2026-03-19,U0145,,6030-Professional Fees,526.33,Professional Fees charge
T002054,2026-08-30,U0229,,6060-Marketing,668.55,Marketing charge
T002055,2026-08-04,U0245,,6060-Marketing,2201.13,Marketing charge
T002056,2025-09-04,U0108,,6030-Professional Fees,116.78,Professional Fees charge
T002057,2026-02-19,U0281,U0297,6030-Professional Fees,17.79,Professional Fees charge
T002058,2026-05-12,U0350,,6050-Facilities,603.19,Facilities charge
T002059,2025-09-20,U0241,,6010-Office Supplies,3570.86,Office Supplies charge
T002060,2025-11-15,U0162,U0387,6060-Marketing,9800.0,Marketing charge
T002061,2026-01-19,U0292,,6090-Equipment,1925.31,Equipment charge
T002062,2026-07-11,U0341,,6100-Freight & Shipping,620.56,Freight & Shipping charge
T002063,2026-04-21,U0028,,6100-Freight & Shipping,286.92,Freight & Shipping charge
T002064,2025-09-23,U0263,,6050-Facilities,1197.31,Facilities charge
T002065,2025-10-03,U0365,,6080-Consulting,168.86,Consulting charge
T002066,2026-07-09,U0268,,6100-Freight & Shipping,832.13,Freight & Shipping charge
T002067,2025-12-24,U0341,,6080-Consulting,859.21,Consulting charge
T002068,2025-12-27,U0027,U0307,6100-Freight & Shipping,1581.66,Freight & Shipping charge
T002069,2025-09-21,U0132,U0231,6040-IT Software,10256.08,IT Software charge
T002070,2026-04-09,U0003,,6010-Office Supplies,758.74,Office Supplies charge
T002071,2026-06-02,U0157,U0375,6090-Equipment,281.5,Equipment charge
T002072,2026-07-05,U0173,,6010-Office Supplies,479.08,Office Supplies charge
T002073,2026-08-05,U0308,U0135,6090-Equipment,70.39,Equipment charge
T002074,2026-06-15,U0223,,6060-Marketing,229.48,Marketing charge
T002075,2026-08-17,U0013,,6070-Utilities,314.12,Utilities charge
T002076,2025-09-11,U0277,,6020-Travel & Entertainment,276.86,Travel & Entertainment charge
T002077,2025-11-26,U0148,,6050-Facilities,582.65,Facilities charge
T002078,2025-12-14,U0247,,6030-Professional Fees,199.41,Professional Fees charge
T002079,2026-02-06,U0164,,6090-Equipment,1691.1,Equipment charge
T002080,2025-11-19,U0048,U0138,6020-Travel & Entertainment,492.86,Travel & Entertainment charge
T002081,2026-01-17,U0042,,6030-Professional Fees,487.73,Professional Fees charge
T002082,2026-05-15,U0072,U0392,6090-Equipment,343.54,Equipment charge
T002083,2026-01-21,U0355,U0104,6020-Travel & Entertainment,584.47,Travel & Entertainment charge
T002084,2025-12-06,U0222,,6090-Equipment,1221.22,Equipment charge
T002085,2025-10-15,U0361,,6020-Travel & Entertainment,189.84,Travel & Entertainment charge
T002086,2026-08-20,U0301,,6090-Equipment,238.91,Equipment charge
T002087,2026-02-27,U0368,,6010-Office Supplies,352.8,Office Supplies charge
T002088,2025-10-24,U0250,,6090-Equipment,112.12,Equipment charge
T002089,2025-12-07,U0098,,6100-Freight & Shipping,200.1,Freight & Shipping charge
T002090,2025-12-26,U0043,,6080-Consulting,291.83,Consulting charge
T002091,2026-07-26,U0181,U0262,6060-Marketing,1289.27,Marketing charge
T002092,2025-09-02,U0111,,6100-Freight & Shipping,657.75,Freight & Shipping charge
T002093,2026-07-30,U0214,,6060-Marketing,609.69,Marketing charge
T002094,2026-04-26,U0178,U0301,6020-Travel & Entertainment,1256.38,Travel & Entertainment charge
T002095,2025-10-30,U0323,,6100-Freight & Shipping,423.64,Freight & Shipping charge
T002096,2026-02-22,U0318,U0374,6020-Travel & Entertainment,757.11,Travel & Entertainment charge
T002097,2026-01-04,U0179,,6050-Facilities,439.86,Facilities charge
T002098,2025-10-25,U0027,,6010-Office Supplies,659.77,Office Supplies charge
T002099,2026-08-23,U0081,,6050-Facilities,259.55,Facilities charge
T002100,2026-02-22,U0160,,6070-Utilities,33.69,Utilities charge
T002101,2025-10-09,U0208,U0017,6080-Consulting,425.09,Consulting charge
T002102,2026-01-24,U0020,U0082,6060-Marketing,2356.71,Marketing charge
T002103,2026-07-06,U0302,,6100-Freight & Shipping,1364.9,Freight & Shipping charge
T002104,2026-01-14,U0058,U0333,6060-Marketing,1425.01,Marketing charge
